AHardDaysNight,BeatIt,CrucifyYourMind,WeCanWorkItOut,GiveItAway,Lithium,SurfinUSA,BillieJean,WouldntItBeNice,WeWillRockYou
A Hard Days Night,Beat It,Crucify Your Mind,We Can Work it Out,Give It Away,Lithium,Surfin USA,Billie Jean,Wouldnt it be Nice,We Will Rock You
The Beatles,Michael Jackson,Rodriguez,The Beatles,Red Hot Chili Peppers,Nirvana,The Beach Boys,Michael Jackson,The Beach Boys,Queen
https://www.youtube.com/watch?v=AMSiHdrHl0g,https://www.youtube.com/watch?v=oRdxUFDoQe0,https://www.youtube.com/watch?v=hVdWXqtk484,https://www.youtube.com/watch?v=Qyclqo_AV2M,https://www.youtube.com/watch?v=Mr_uHJPUlO8,https://www.youtube.com/watch?v=pkcJEvMcnEg,https://www.youtube.com/watch?v=2s4slliAtQU,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,https://www.youtube.com/watch?v=nZBKFoeDKJo,https://www.youtube.com/watch?v=-tJYN-eG1zk
2.5,60.5,24,0,16,8,2,30,7.5,18
